Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Linha
12106251,MUCILON BL Arroz Aveia Lata 18x400g BR  ,1901.10.30      ,7891000040898,,7891000040904,102,BABY FOOD,7,MUCILON TRAD LATA,Nestlé
12111210,NINHO Lepo Integral Sachet 12x800g BR   ,0402.21.10      ,7891000070765,,7891000070772,113,LEITE EM PO,96,NINHO TRAD/INST SACHET,Nestlé
12112568,NINHO Leite em Po Instantaneo 12x800g BR,0402.21.10      ,7891000071397,,7891000071403,113,LEITE EM PO,96,NINHO TRAD/INST SACHET,Nestlé
12119720,CRUNCH Cereal Matinal 20x330g BR        ,1904.10.00      ,7891000072899,,7891000072905,107,CEREAIS MATINAIS,45,DEMAIS CEREAIS MATINAIS,Nestlé
12127625,MUCILON BL Arroz e Aveia Sachet 9x600gBR,1901.10.30      ,7891000073100,,7891000073117,102,BABY FOOD,8,MUCILON TRAD SACHET,Nestlé
12131230,BONO Bisc Recheado Morango 63x140g BR   ,1905.31.00      ,7891000018774,,7891000076545,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12131234,BONO Bisc Recheado Chocolate 63x140g BR ,1905.31.00      ,7891000018750,,7891000076538,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12131235,NEGRESCO Biscoito Recheado 63x140g BR   ,1905.31.00      ,7891000023808,,7891000076552,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12131861,NESCAU 2.0 ACTGE Achoc Po 30x400gPRRotBR,1806.90.00EX01  ,7891000053508,,7891000053515,104,BEBIDAS POS,16,NESCAU LATA 2.0 400G,Nestlé
12136357,PRESTIGIO Wafer 48x110g BR              ,1905.32.00      ,7891000077924,,7891000077931,105,BISCOITOS,26,BISCOITOS WAFER,Nestlé
12136358,CLASSIC Wafer 48x110g BR                ,1905.32.00      ,7891000077948,,7891000077955,105,BISCOITOS,26,BISCOITOS WAFER,Nestlé
12136359,NEGRESCO Wafer 48x110g BR               ,1905.32.00      ,7891000077962,,7891000077979,105,BISCOITOS,26,BISCOITOS WAFER,Nestlé
